PRO001;May Vi Tinh;31;10-10-2022 10:10:10;01-01-2023 10:10:20;120000
PRO002;May In;90;09-09-2022 20:21:43;02-02-2023 07:12:29;150000
PRO003;Banh Bao;35;08-08-2022 21:21:22;04-04-2023 12:12:23;170000
PRO004;Ca Hop;312;07-07-2022 18:12:12;05-05-2023 07:07:07;180000
PRO005;Hop Vit;77;06-06-2022 21:12:12;06-06-2023 12:12:12;210000
PRO006;Hot Ga;88;05-05-2022 01:01:01;07-07-2023 02:02:02;135000
PRO007;Sua Chua;99;04-04-2022 08:08:08;08-08-2023 09:09:09;12000
PRO008;May Hut Bui;99;03-03-2022 11:11:11;09-09-2027 03:04:05;12000
PRO009;May Rua Chen;92;02-02-2025 11:12:20;05-03-2030 21:22:22;20000
PRO010;May Giat;123;03-04-2021 11:03:20;05-03-2035 21:22:22;20000000
